Device Name,URL
ZTE nubia RedMagic 11 Pro+,https://www.gsmarena.com/zte_nubia_redmagic_11_pro+_5g-14238.php
Honor Magic8 Pro,https://www.gsmarena.com/honor_magic8_pro_5g-14231.php
Oppo Find X9 Pro,https://www.gsmarena.com/oppo_find_x9_pro-14094.php
Oppo Find X9,https://www.gsmarena.com/oppo_find_x9_5g-14235.php
ZTE nubia RedMagic 11 Pro,https://www.gsmarena.com/zte_nubia_redmagic_11_pro_5g-14239.php
Huawei nova 14 Lite,https://www.gsmarena.com/huawei_nova_14_lite_5g-14241.php
Huawei nova Flip S,https://www.gsmarena.com/huawei_nova_flip_s_5g-14240.php
OnePlus 15,https://www.gsmarena.com/oneplus_15_5g-14206.php
Apple iPad Pro 13 (2025),https://www.gsmarena.com/apple_ipad_pro_13_5g_(2025)-14233.php
vivo iQOO 15,https://www.gsmarena.com/vivo_iqoo_15_5g-14198.php
Tecno Megapad Pro,https://www.gsmarena.com/tecno_megapad_pro-14244.php
Honor MagicPad 3 Pro,https://www.gsmarena.com/honor_magicpad_3_pro-14243.php
Honor Watch 5 Pro,https://www.gsmarena.com/honor_watch_5_pro-14242.php
Realme GT8 Pro (China),https://www.gsmarena.com/realme_gt8_pro_5g_(china)-14245.php
Realme GT8 (China),https://www.gsmarena.com/realme_gt8_5g_(china)-14246.php
ZTE nubia Z80 Ultra,https://www.gsmarena.com/zte_nubia_z80_ultra_5g-14247.php
Oppo F31,https://www.gsmarena.com/oppo_f31_5g-14248.php
Acer Acerone Liquid S262F5,https://www.gsmarena.com/acer_acerone_liquid_s262f5_5g-14250.php
Xiaomi Redmi K90 Pro Max,https://www.gsmarena.com/xiaomi_redmi_k90_pro_max_5g-14252.php
Honor Play10A,https://www.gsmarena.com/honor_play10a-14253.php
Honor X5c,https://www.gsmarena.com/honor_x5c-14251.php
Oukitel C69,https://www.gsmarena.com/oukitel_c69-14254.php
Oukitel P1 Pro,https://www.gsmarena.com/oukitel_p1_pro-14255.php
OnePlus Ace 6,https://www.gsmarena.com/oneplus_ace_6_5g-14259.php
OnePlus Turbo,https://www.gsmarena.com/oneplus_turbo_5g-14260.php
Nothing Phone (3a) Lite,https://www.gsmarena.com/nothing_phone_(3a)_lite_5g-14267.php
Motorola Edge 70,https://www.gsmarena.com/motorola_edge_70_5g-14216.php
Motorola Moto G67 Power,https://www.gsmarena.com/motorola_moto_g67_power_5g-14266.php
vivo iQOO Neo11 (China),https://www.gsmarena.com/vivo_iqoo_neo11_5g_(china)-14268.php
Ulefone Armor Pad 5 Ultra,https://www.gsmarena.com/ulefone_armor_pad_5_ultra_5g-14269.php
ZTE nubia RedMagic 11 Pro,https://www.gsmarena.com/zte_nubia_redmagic_11_pro_5g_int-14277.php
vivo Y19s,https://www.gsmarena.com/vivo_y19s_5g-14276.php
Realme C85,https://www.gsmarena.com/realme_c85_5g-14274.php
Realme C85 Pro,https://www.gsmarena.com/realme_c85_pro-14275.php
vivo Y500 Pro,https://www.gsmarena.com/vivo_y500_pro_5g_(china)-14278.php
Wiko T30,https://www.gsmarena.com/wiko_t30_5g-14279.php
Motorola Moto G57 Power,https://www.gsmarena.com/motorola_moto_g57_power_5g-14282.php
Xiaomi Redmi K90,https://www.gsmarena.com/xiaomi_redmi_k90_5g-14280.php
Xiaomi Redmi Watch 6,https://www.gsmarena.com/xiaomi_redmi_watch_6-14281.php
Motorola Moto G (2026),https://www.gsmarena.com/motorola_moto_g_5g_(2026)-14138.php
Motorola Moto G Play (2026),https://www.gsmarena.com/motorola_moto_g_play_5g_(2026)-14139.php
Huawei Mate 70 Air,https://www.gsmarena.com/huawei_mate_70_air_5g-14283.php
Motorola Moto G57,https://www.gsmarena.com/motorola_moto_g57_5g-14284.php
Oppo Reno15 Pro,https://www.gsmarena.com/oppo_reno15_pro_5g-14286.php
Xiaomi Poco Pad M1,https://www.gsmarena.com/xiaomi_poco_pad_m1-14285.php
Cubot Note 60,https://www.gsmarena.com/cubot_note_60-14287.php
ZTE Blade A76 4G,https://www.gsmarena.com/zte_blade_a76-14290.php
Oppo Reno15,https://www.gsmarena.com/oppo_reno15_5g-14288.php
Sharp Aquos sense10,https://www.gsmarena.com/sharp_aquos_sense10_5g-14289.php
